gene_name,cont1,chlor1,nor1,cont2,chlor2,nor2,r_chlor1,r_chlor2,r_nor1,r_nor2
C0293,0.00016366757691931366,0.0001546433203364214,0.00014413721298354155,0.0001923844341090968,0.00015439174487681174,0.0001812534367325704,-0.08182402852212427,-0.317396459211664,-0.18332569254143208,-0.08598372465935673
C0343,0.0002208178041859762,0.0002311058509472075,0.00021091530186988054,0.00022504386058915562,0.00023575586096739935,0.0002047552144971843,0.06569728623346413,0.06708743004864264,-0.06619273278431341,-0.1363060137440871
C0465,6.626757869830906e-05,8.161730795533352e-05,9.85211945189297e-05,7.552492373513613e-05,8.003027812188944e-05,6.277872142602348e-05,0.3005719190740005,0.0835931007763329,0.5721309130619895,-0.26667717535026114
C0664,0.000190352507938767,0.000200692664614378,0.0002135017771436472,0.00022912628889916302,0.00020274337124211997,0.00020282356153022974,0.07631430879672182,-0.17648825050079733,0.1655745007145673,-0.17591773982479017
C0719,0.00010429360540103003,9.312964402482266e-05,0.00011991839905645382,0.00011583890329645882,0.0001033724425741072,8.402690406252375e-05,-0.16333833484365323,-0.16426821121991364,0.20140232416828072,-0.46319661419195257
IS128,0.00010029086574811204,0.00010928127970440445,8.629422049748736e-05,0.00012553467053272628,0.00012037887667500872,0.0001242696742074106,0.1238560683468262,-0.06050360765530476,-0.21685437058736873,-0.014611591542081477
Phantom Gene,0.0005763945100201916,0.0005472655280794468,0.0005015410689949333,0.0005883799801798106,0.0005445393507210229,0.0005350678718464156,-0.07481560942311034,-0.11171185129331258,-0.20068875271925385,-0.13702625435234944
aaeA,0.0003273351538386273,0.0003654737137284092,0.0003308337009263344,0.0003633361195906549,0.00035946933256415347,0.0003863305933909137,0.1589990982215111,-0.015436097417127969,0.015337657004319286,0.08853113605856112
aaeB,0.00022192967631178673,0.00019519423544686078,0.00019751265726945336,0.00017911654210157288,0.00016539590811857154,0.00017835595728213854,-0.18519214951472682,-0.11497503912092161,-0.16815748784633847,-0.006139177726294502
aaeR,0.0003522410894567837,0.00036100624002980146,0.0003571687218955948,0.0002939348383205298,0.00032945797826844494,0.0003264493514153221,0.035460562911287956,0.16459810093912958,0.02004253424727315,0.1513628120901062
aaeX,2.4461186767832206e-05,2.4742931253827424e-05,2.9391764474621034e-05,2.755639109254967e-05,2.9677894803534003e-05,2.47895464092503e-05,0.01652202423550452,0.10700179959969332,0.2649175709622267,-0.15265508493948918
